game_id,created_at,color,result,player_rating,opponent_rating,opponent_name,variant,speed,rated,status,rating_diff
UMo2FLoh,2023-07-15 22:57:46.132,White,Win,3190,3046.0,MatthewG-p4p,standard,bullet,True,resign,144.0
K5xLX1OX,2023-07-15 22:56:13.644,Black,Draw,3192,3092.0,Night-King96,standard,bullet,True,draw,100.0
1ZbCJMya,2023-07-15 22:54:30.684,White,Loss,3203,3062.0,penguingim1,standard,bullet,True,resign,141.0
z7NleUNM,2023-07-15 22:52:54.083,White,Win,3198,3056.0,mutdpro,standard,bullet,True,resign,142.0
G5b8B96e,2023-07-15 22:51:43.782,Black,Win,3196,2813.0,maybach7,standard,bullet,True,resign,383.0
JChF9ICU,2023-07-15 22:50:02.993,Black,Win,3190,3093.0,Night-King96,standard,bullet,True,resign,97.0
dLkqaeQW,2023-07-15 22:48:03.484,White,Win,3184,3075.0,penguingim1,standard,bullet,True,resign,109.0
UCl6hUeH,2023-07-15 22:47:16.076,Black,Win,3177,3103.0,RebeccaHarris,standard,bullet,True,resign,74.0
pdGxAww8,2023-07-15 22:45:55.864,White,Loss,3194,2682.0,Oleg_Papayan,standard,bullet,True,outoftime,512.0
UvGLsm01,2023-07-15 22:44:43.585,White,Win,3187,3115.0,RebeccaHarris,standard,bullet,True,resign,72.0
iB6dQHtz,2023-07-15 22:42:56.694,Black,Loss,3204,2664.0,Oleg_Papayan,standard,bullet,True,resign,540.0
UA2ADi0v,2023-07-15 22:41:28.393,White,Win,3197,3106.0,Zhigalko_Sergei,standard,bullet,True,resign,91.0
9LsB1LJn,2023-07-15 22:40:06.245,Black,Loss,3209,3103.0,RebeccaHarris,standard,bullet,True,resign,106.0
hWwKb39z,2023-07-15 22:38:23.476,White,Loss,3225,2914.0,SF-46,standard,bullet,True,resign,311.0
nc47V6ja,2023-07-15 22:36:50.878,Black,Win,3219,3065.0,mutdpro,standard,bullet,True,resign,154.0
q4mqrpCT,2023-07-15 22:35:14.135,White,Win,3213,3081.0,penguingim1,standard,bullet,True,resign,132.0
xDixM3Ln,2023-07-15 22:32:59.430,Black,Win,3211,2748.0,Umid-2006,standard,bullet,True,mate,463.0
PYvhsnQA,2023-07-15 22:31:31.882,White,Win,3206,3032.0,MatthewG-p4p,standard,bullet,True,resign,174.0
TK8OFvWQ,2023-07-15 22:29:11.936,Black,Loss,3220,3102.0,RebeccaHarris,standard,bullet,True,outoftime,118.0
n6Vbi5t3,2023-07-15 22:27:25.055,White,Win,3214,3048.0,mutdpro,standard,bullet,True,resign,166.0
eN6gxH3H,2023-07-15 22:26:25.235,Black,Loss,3228,3107.0,AngelitoRT,standard,bullet,True,resign,121.0
ZK3Gy0wF,2023-07-15 22:24:29.961,Black,Win,3222,3034.0,MatthewG-p4p,standard,bullet,True,resign,188.0
O9E3Bdgn,2023-07-15 22:22:09.973,White,Loss,3239,3069.0,penguingim1,standard,bullet,True,outoftime,170.0
t6oyk7HZ,2023-07-15 22:20:35.284,Black,Draw,3243,3108.0,RebeccaHarris,standard,bullet,True,draw,135.0
jfjoDu3I,2023-07-15 22:19:00.524,White,Loss,3263,2966.0,Fandorine96,standard,bullet,True,resign,297.0
Mx0tNkiu,2023-07-15 22:17:17.381,Black,Win,3256,3099.0,AngelitoRT,standard,bullet,True,resign,157.0
RDK0a8Rx,2023-07-15 22:15:38.776,White,Loss,3276,3039.0,MatthewG-p4p,standard,bullet,True,resign,237.0
rfAFaxpg,2023-07-15 22:13:02.414,White,Win,3270,3057.0,mutdpro,standard,bullet,True,outoftime,213.0
Cxvvmv0v,2023-07-15 22:11:07.167,Black,Win,3262,3106.0,Zhigalko_Sergei,standard,bullet,True,resign,156.0
831LXjw8,2023-07-15 22:10:09.676,White,Win,3255,3059.0,mutdpro,standard,bullet,True,resign,196.0
